,review,sentiment
2,"Die Kombination von Navigation und Radarwarnung funktioniert gut bis sehr gut. Die Signaltöne sind differenziert und ausreichend laut.Toll wäre die Möglichkeit eigene Töne zu definieren (z.B. ""Du fährst zu schnell"" mit Stimme der Ehefrau"")Schwierig ist die Bedienung während der Fahrt, insbesondere die Start-Taste für die Navigation und die Zentrierfunktion sind viel zu klein.",4
3,"Ich habe seit 1 Jahr das Saphe Drive Pro und bin begeistert von diesem Gerät. Ersten ist die Genauigkeit sehr präzise und die Warnungen sehr zeitig. Auch die Anzeige der zu erlaubten Geschwingkeit finde ich großartig, da ich keine Verkehrszeichenerkennung im Wagen habe.Einziger Nachteil sind immer diese zwischenzeitliche Verbindungsausetzer. Trotzdem, Preis-Leistung ist hervorragend und ich würde sie jeden empfehlen, der Interessen hat.",4
4,"Alles gut, alles funktioniert wie es soll. Batterie bisher gut. Befestigung kann besser sein, mehr Klebeflächen/klebe Zubehör. ",5
5,"Gut ist der Display der die Geschwindigkeit und das Tempolimit anzeigt. Des Weiteren ist die Einrichtung sehr einfach gehalten. Die Verbindung mit dem Handy und dem Gerät funktioniert super und läuft tadellos. Einziger Abzug, deswegen auch einen Stern weniger, ist, dass man ein Abo abschließen muss, was bei anderen nicht der Fall ist. Vielleicht bekommt man das System auch ohne zusätzliche Kosten für die Zukunft zum laufen. ",4
6,Das Gerät hat bisher immer zuverlässig alle Blitzer/Gefahren angezeigt. Die erlaubte Geschwindigkeit wurde auch bis auf wenige Ausnahmen richtig angezeigt. Ich kann den Blitzerwarner  empfehlen.,5
7,Ich habe es getestet für den pkw und bin positiv begeistert es sagt alles an und warnt rechtzeitig . Vorschlag sowas speziel für lkw wäre eine gute Sache die ich dann auch sofort testen würde ,5
8,"Das Gerät an sich ist recht gut, Akku hält lange und mit dem Bildschirm ist es echt super da alles bildlich dargestellt ist.Einziger großer Minuspunkt für mich ist das ich die Töne nicht über mein Auto abspielen kann.. sprich wenn ich lauter Musik höre, dann höre ich kein warnton vom Saphe gerät.",4
9,"Das Gerät an sich hat eine super Qualität und die App macht auch einen übersichtlichen soliden Eindruck . Man kann alles über die App steuern … wenn man an einem Blitzer vorbei fährt kann man diesen direkt am Gerät melden .Der Akku des Gerätes hält super lang (habe nach der Lieferung noch kein einziges Mal laden müssen . Habe das Gerät jetzt schon ungefähr eine Woche )Das einzige was mich stört , ich würde gerne wenn ein Blitzer kommt ein bisschen früher mit einem Ton gewarnt werden und nicht erst 300 Meter davor . Und irgendwie stimmt etwas mit der Kommunikation nicht was das Internet betrifft . Kann aber auch an mir liegen :)Im Großen und ganzen würde ich das Gerät weiter empfehlen und ich bin gespannt was die Zeit noch so mit sich bringen wird . ",4
10,Super Gerät. Durch die Vernetzung werden sämtliche Gefahrenstellen erkannt und gemeldet.Einziges Manko: die Geschwindigkeitsangaben sind nicht immer aktuell. Hier könnte man mehr mit Google zb abgleichen ,4
11,Was einfach nervt an den Geräten ist das selbe Problem wie beim ooono !Kommt ja auch aus Dänemark!Die Geräte können einfach nicht die Fahrtrichtung feststellen!Es wird viel zu oft vor Geräten gewarnt die nicht auf der eigenen Fahrspur sind!Waze kann das doch auch!Und das ist noch dazu kostenlos!,1
12,"Hat alles einwandfrei und zügig funktioniert!Nachtrag 10.12.2024: Leider scheint der Support nicht richtig zu funktionieren, ich habe Probleme innerhalb der Bezahlung und auf Mails meinerseits wird leider nicht reagiert. Bitte nehmen Sie unter der Ihnen bekannten Mailadresse Kontakt mit mir auf.Vielen Dank.",3
13,Es lief alles einwandfrei. Auch das Gerät selbst macht das was es soll.bisher noch keine Probleme gehabt. ,5
14,Soweit ganz zufrieden. Will sich immer gleich selbst mit dem Handy verbinden. Auch neu aufgebaute Blitzer sind sehr schnell gemeldet bzw wurden gemeldet. Akku hält sehr lange. Also alles im allem … nichts auszustehen 👍🏼,4
15,"Ich bin insgesamt sehr zufrieden mit meinem Kauf des Saphe Gefahrenwarners. Der gesamte Prozess – vom Kauf bis zur Nutzung – verlief reibungslos. Die Installation war kinderleicht, und die Verbindung mit der App klappte auf Anhieb. Das Gerät ist kompakt, unauffällig und passt problemlos ins Fahrzeug.Besonders beeindruckt bin ich von der schnellen und zuverlässigen Warnung vor Gefahrenstellen und Blitzern. Es gibt ein gutes Gefühl, sicherer und entspannter unterwegs zu sein. Die Echtzeit-Updates sind ein großer Pluspunkt, da sie helfen, stets aktuelle Informationen zu erhalten.Ein kleiner Wermutstropfen war, dass ich bei zwei Blitzern erst gewarnt wurde, als ich bereits daran vorbeigefahren war – obwohl alle Einstellungen korrekt waren. Das ist jedoch eine Kleinigkeit und mindert meine Gesamtzufriedenheit nicht wesentlich.Alles in allem bietet Saphe eine hervorragende Lösung für sicheres Fahren. Ich kann das Produkt jedem empfehlen, der Wert auf zusätzliche Sicherheit und aktuelle Warnungen im Straßenverkehr legt.",5
16,"Der Saphe ist gut zu bedienen übersichtlich und funktioniert immer sehr gut. Was ich noch verbessern würde in der App ist das er noch früher warnt der OOONO kann das den habe ich auch, sonst ist alles gut gemacht. Zudem würde ich mir ein paar mehr Halterungen wünschen auch zum ankleben an das Cockpit.",4
17,"Es ist gut, dass das Gerät die Geschwindigkeit anzeigt. Und das Display ist schön groß.Was nicht gut ist, dass das Gerät keine Echtzeitdaten über die erlaubte Geschwindigkeit gibt. Wenn es in Baustellen oder anderen Zonen eine geänderte Höchstgeschwindigkeit gibt, zeigt das Gerät sie nicht an. Sondern die, die es davor gewesen sein muss. Man müsste in der App eine Möglichkeit haben, die aktuell Gültige Höchstgeschwindigkeit melden zu können.",2
18,Das Saphe ist eine super Sache. Kennzeichnen Erkennung finde ich am besten. Das Thema Blitzer Warner sollte unbedingt noch einmal überarbeitet werden. Das funktioniert nicht so wie es soll. Es werden alle Blitzer angezeigt auch wenn diese auf der anderen Straßenseite stehen Autobahn inbegriffen. Das machen andere Navigations Apps besser und diese sind auch kostenlos. Beispielsweise Waze. Also das wäre ein wichtiger Punkt da dies zu Verwirrung führt. ,4
19,"Produkt ist gut, ab und an stimmen die Tempo-limit anzeigen nicht. Sonst ist die App super funktioniert 👍 einwandfrei .",4
20,"Saphe ist eine hervorragende Lösung für alle, die sicher und entspannt unterwegs sein möchten. Die App bietet eine benutzerfreundliche Oberfläche und liefert Echtzeitinformationen über Verkehrsbedingungen, Blitzer und andere wichtige Hinweise. Besonders beeindruckend ist die Community-Funktion, die es Nutzern ermöglicht, Informationen auszutauschen und sich gegenseitig zu unterstützen.Die regelmäßigen Updates sorgen dafür, dass die Daten stets aktuell sind, was die Sicherheit auf der Straße erheblich erhöht. Zudem ist der Kundenservice von Saphe sehr hilfsbereit und reagiert schnell auf Anfragen. Insgesamt ist Saphe eine wertvolle Unterstützung für jeden Autofahrer, der Wert auf Sicherheit und Effizienz legt. Ich kann die App nur wärmstens empfehlen!",5
21,Kurze Reaktion auf mein Anliegen ohne wenn und aber.Mein Problem wurde innerhalb von 3 Tagen gelöst. Frederik war in seinen Antwortmails immer freundlich und hilfsbereit und dazu auch noch effektiv. Wo bekommt man heutzutage noch so einen Service.,5
